horse_id,horse_avg_order_3,horse_avg_order_5,horse_avg_last3f_3,horse_avg_last3f_5,horse_win_rate_dist,horse_win_rate_venue,horse_win_rate_surface
2021103250,11.666666666666666,10.0,37.833333333333336,38.260000000000005,0.0,0.0,0.0
2021103251,6.0,6.8,36.266666666666666,37.260000000000005,0.0,0.0,0.0
2021103252,16.0,16.0,46.1,46.1,,,
2021103253,7.0,7.0,36.8,36.8,0.0,,0.0
2021103255,4.666666666666667,3.75,35.53333333333333,35.849999999999994,0.0,1.0,0.25
2021103257,7.333333333333333,8.0,36.43333333333333,37.040000000000006,0.1666666666666666,0.0,0.125
2021103258,6.0,6.0,36.6,36.6,0.0,0.0,0.0
2021103259,,,,,,,
2021103261,8.0,8.0,37.56666666666667,37.56666666666667,0.0,0.0,0.0
2021103262,1.5,1.5,35.3,35.3,1.0,0.0,0.5
2021103263,2.6666666666666665,3.8,38.23333333333333,37.52,0.3333333333333333,0.0,0.25
2021103264,12.333333333333334,12.333333333333334,37.53333333333333,37.53333333333333,,0.0,0.0
2021103267,5.333333333333333,5.333333333333333,36.6,36.6,0.0,0.0,0.0
2021103268,4.0,3.25,37.73333333333333,37.825,0.3333333333333333,0.0,0.25
2021103269,9.0,8.25,36.766666666666666,36.175,0.0,0.0,0.0
2021103270,5.333333333333333,7.0,39.2,39.38,0.0,0.0,0.0
2021103271,11.666666666666666,11.666666666666666,36.86666666666667,36.86666666666667,0.0,0.0,0.0
2021103272,6.333333333333333,5.0,36.13333333333333,35.599999999999994,0.5,0.3333333333333333,0.5714285714285714
2021103273,1.0,1.0,35.2,35.2,1.0,1.0,1.0
2021103275,13.0,12.0,36.833333333333336,37.78,0.0,0.0,0.0
2021103277,7.666666666666667,8.2,35.666666666666664,37.5,0.0,0.0,0.0
2021103278,8.333333333333334,6.6,33.76666666666667,34.32,0.25,0.0,0.2
2021103279,11.0,11.0,40.3,40.3,0.0,0.0,0.0
2021103281,5.666666666666667,5.666666666666667,38.1,38.1,0.0,0.0,0.0
2021103282,4.666666666666667,5.2,34.86666666666667,34.67999999999999,0.0,0.3333333333333333,0.2857142857142857
2021103283,10.0,6.6,39.63333333333333,39.4,0.2,0.25,0.1666666666666666
2021103284,8.0,8.0,35.4,35.4,,0.0,0.0
2021103285,7.666666666666667,5.4,40.86666666666667,39.88,0.0,0.0,0.0
2021103286,14.0,14.0,37.6,37.6,0.0,,
2021103287,2.0,2.0,38.4,38.4,0.0,0.0,0.0
2021103288,1.3333333333333333,1.3333333333333333,36.46666666666667,36.46666666666667,0.6666666666666666,1.0,0.6666666666666666
